大項目,中項目,小項目,工数（万円）,難易度,必要スキル,備考
キックオフ・設計,要件定義,クライアント管理要件の整理,7.5,中級,ビジネスアナリスト,ステークホルダーヒアリング含む
キックオフ・設計,要件定義,機能一覧作成と優先順位付け,7.5,中級,ビジネスアナリスト,MoSCoW分析実施
キックオフ・設計,基本設計,システム構成設計,15.0,上級,システムアーキテクト,マイクロサービス設計
キックオフ・設計,基本設計,画面設計書作成,22.5,中級,UIデザイナー,ワイヤーフレーム作成
キックオフ・設計,基本設計,API仕様書作成,15.0,中級,バックエンドエンジニア,OpenAPI仕様書
キックオフ・設計,詳細設計,コンポーネント設計,15.0,中級,フロントエンドエンジニア,React設計パターン
キックオフ・設計,詳細設計,データフロー設計,7.5,中級,フルスタックエンジニア,状態管理設計
キックオフ・設計,詳細設計,状態管理設計,7.5,中級,フロントエンドエンジニア,Context API設計
キックオフ・設計,UI/UXデザイン,画面デザイン作成,22.5,中級,UIデザイナー,Figmaデザイン
キックオフ・設計,UI/UXデザイン,インタラクション設計,7.5,中級,UXデザイナー,プロトタイプ作成
フロントエンド,メイン管理画面,ClientManagement.tsx実装,37.5,上級,React/TypeScript,1670行の大規模コンポーネント
フロントエンド,メイン管理画面,階層ビュー実装,22.5,上級,React/TypeScript,ツリー構造の状態管理
フロントエンド,メイン管理画面,テーブルビュー実装,22.5,中級,React/TypeScript,ソート可能テーブル
フロントエンド,メイン管理画面,ビュー切り替え機能,7.5,初級,React/TypeScript,トグル機能
フロントエンド,検索・フィルタリング,検索機能実装,15.0,中級,React/TypeScript,リアルタイム検索
フロントエンド,検索・フィルタリング,FilterBarコンポーネント実装,22.5,中級,React/TypeScript,複数条件フィルター
フロントエンド,検索・フィルタリング,日付範囲フィルター実装,15.0,中級,React/TypeScript,日付ピッカー実装
フロントエンド,ソート機能,SortBarコンポーネント実装,15.0,中級,React/TypeScript,ソート条件管理
フロントエンド,ソート機能,ソートロジック実装,15.0,中級,TypeScript,複数条件ソート
フロントエンド,ソート機能,ソートユーティリティ作成,15.0,中級,TypeScript,汎用ソート関数
フロントエンド,編集モーダル,CompanyEditModal実装,22.5,中級,React/TypeScript,クライアント情報編集
フロントエンド,編集モーダル,CompanySettingsModal実装,22.5,中級,React/TypeScript,プラン設定
フロントエンド,編集モーダル,ContractPeriodModal実装,15.0,中級,React/TypeScript,契約期間管理
